@relation GPT

@attribute PatientID numeric
@attribute GPT_0 {VH,H,N,UH}
@attribute GOT_0 {H,N,VH,UH}
@attribute ZTT_0 {N,H,VH,UH}
@attribute TTT_0 {H,N,VH,UH}
@attribute T-BIL_0 {N,H,VH}
@attribute D-BIL_0 {H,N,UH,VH}
@attribute I-BIL_0 {N,H,VH}
@attribute ALB_0 {H,N,L,VL}
@attribute CHE_0 {VL,N,H,L}
@attribute T-CHO_0 {H,N,L,VH}
@attribute TP_0 {H,N,L,VL,VH}
@attribute Type_0 {B,C}
@attribute Activity_0 {A2,A1,A3}
@attribute GPT_1 {UH,H,N,VH}
@attribute GOT_1 {VH,N,H,UH}
@attribute ZTT_1 {N,H,VH,UH}
@attribute TTT_1 {H,N,VH,UH}
@attribute T-BIL_1 {N,H,VH}
@attribute D-BIL_1 {H,N,UH,VH}
@attribute I-BIL_1 {N,H,VH}
@attribute ALB_1 {H,N,L,VL}
@attribute CHE_1 {VL,N,H,L}
@attribute T-CHO_1 {N,L,VH,H}
@attribute TP_1 {H,N,L,VH}
@attribute Type_1 {B,C}
@attribute Activity_1 {A2,A1,A3}
@attribute GPT2 {UH,H,N,VH}

@data
1,VH,H,N,H,N,H,N,H,VL,H,H,B,A2,UH,VH,N,H,N,H,N,H,VL,N,H,B,A2,UH
2,H,N,H,N,H,H,H,N,N,N,N,C,A1,H,N,H,N,H,H,H,N,N,L,N,C,A1,H
3,N,N,N,N,N,H,N,N,VL,N,N,B,A1,N,N,N,N,N,H,N,N,VL,N,N,B,A1,N
5,H,N,H,N,N,N,N,N,N,N,N,C,A1,H,H,H,N,H,N,H,N,N,N,N,C,A1,H
16,VH,VH,H,VH,N,N,N,N,N,N,N,C,A1,VH,VH,H,H,N,N,N,N,N,N,N,C,A1,VH
19,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
33,H,H,N,VH,N,N,N,N,N,N,N,B,A1,VH,H,N,VH,N,N,N,N,N,N,N,B,A1,VH
35,H,H,H,N,N,N,N,N,N,N,N,C,A1,H,N,H,H,N,N,N,N,N,N,N,C,A1,H
36,N,N,N,N,N,N,N,L,N,L,L,C,A1,N,N,N,N,N,N,N,N,N,N,N,C,A1,N
37,N,N,N,N,N,H,N,N,N,N,N,C,A2,N,N,N,N,N,N,N,N,N,N,N,C,A2,N
49,N,N,H,VH,N,N,N,N,N,N,N,C,A1,H,H,H,H,N,N,N,N,N,N,N,C,A1,H
50,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
51,N,N,H,VH,N,N,N,N,N,N,N,B,A2,N,N,H,VH,N,N,N,N,N,N,N,B,A2,N
54,N,N,N,N,N,H,N,N,VL,N,N,B,A1,N,N,N,N,H,H,N,N,VL,N,N,B,A1,N
57,N,N,N,N,N,N,N,N,N,N,N,B,A2,N,N,H,N,H,H,H,N,N,N,N,B,A2,N
58,N,N,N,H,N,N,N,N,N,N,N,B,A2,N,N,N,N,N,N,N,N,N,N,N,B,A2,N
59,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
60,H,H,N,H,N,H,N,N,N,N,N,B,A1,H,H,H,H,H,H,N,N,N,N,N,B,A1,H
61,N,N,H,H,N,N,N,N,N,N,N,B,A3,N,N,H,N,N,N,N,N,N,N,N,B,A3,N
66,VH,H,N,H,N,N,N,N,VL,N,N,B,A1,H,N,N,N,N,N,N,N,VL,N,N,B,A1,H
69,H,H,N,N,N,N,N,N,VL,N,L,B,A1,H,H,N,N,N,N,N,N,VL,N,N,B,A1,H
70,VH,H,H,VH,N,N,N,N,N,N,N,B,A2,VH,VH,H,VH,N,N,N,N,N,N,N,B,A2,VH
71,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,N,N,N,N,N,N,N,N,N,C,A1,N
72,VH,H,N,N,H,H,H,N,N,L,N,C,A1,VH,H,N,N,N,N,N,N,N,N,N,C,A1,VH
74,VH,VH,N,N,N,H,N,L,VL,N,VL,B,A2,H,H,N,N,VH,H,VH,N,VL,N,L,B,A2,H
76,H,H,H,N,N,N,N,N,N,N,N,C,A1,VH,H,H,N,N,N,N,N,N,N,N,C,A1,VH
78,N,N,N,N,N,N,N,N,N,H,N,C,A1,N,N,N,N,N,N,N,N,N,VH,N,C,A1,N
79,N,N,H,N,N,N,N,N,N,N,N,B,A2,N,N,H,N,N,N,N,N,N,N,N,B,A2,N
